Meeting Title,Race,Name,Trainer,Rating,Our $
Crayford (GBR),,,,,
,Race 1,Vital Last Hit,T. J Liles,97,
,Race 1,Vicious Amanda,T. B O'Sullivan,88,
,Race 1,Zoros Ghost,T. D Childs,91,
,Race 1,Choices Shadow,T. J Liles,83,
,Race 1,Le Fou,T. D Lee,100,
,Race 1,Kellsboro Ava,T. J Liles,89,
,Race 1,Moaning Mccoist,T. D Whitton,84,
,Race 1,Moaning Dolce,T. D Whitton,92,
,Race 1,Antigua Paddy,T. B O'Sullivan,100,
,Race 1,Basque Lady,T. D Lee,91,
,Race 1,All Along,T. D Lee,100,
,Race 1,Two Sovereigns,T. D Lee,89,
,Race 1,Kilmagner Flash,T. J Luckhurst,90,
,Race 1,Water Lane,T. D Whitton,91,
,Race 1,Choices Pearls,T. J Liles,100,
,Race 1,Turree Bruno,T. J Luckhurst,89,
,Race 1,Youllalwayshavme,T. D Lee,89,
,Race 1,Hitormisspub,T. B O'Sullivan,97,
,Race 1,Slowlane Sandy,T. B O'Sullivan,91,
,Race 1,Solid Heggo,T. J Luckhurst,92,
,Race 1,Dame Trisha,T. B O'Sullivan,95,
,Race 1,Becky Kiki,T. D Childs,93,
,Race 1,Kellsboro Roly,T. J Liles,100,
,Race 1,Snowdon Hammer,T. J Luckhurst,96,
,Race 1,Army Tony,T. B O'Sullivan,100,
,Race 1,Robs Rumble,T. B O'Sullivan,78,
,Race 1,Choices Pat,T. J Liles,91,
,Race 1,Swift Kirsty,T. J Liles,92,
,Race 1,Thats It Dan,T. T Batchelor,92,
,Race 1,Olwinn Dasher,T. J Liles,94,
,Race 1,Moaning Gentile,T. D Whitton,100,
,Race 1,Reaveys Rebel,T. B O'Sullivan,94,
,Race 1,Swift Accolade,T. J Liles,99,
,Race 1,Slippy Molly,T. J Liles,91,
,Race 1,Vixons Gambler,T. B O'Sullivan,89,
,Race 1,Phoenix In Tears,T. J Liles,100,
,Race 1,Moaning Countess,T. D Whitton,96,
,Race 1,Laughil Dec,T. J Luckhurst,99,
,Race 1,Swift Aim,T. J Liles,97,
,Race 1,Rossa Annie,T. B O'Sullivan,98,
,Race 1,Bookys Allin,T. D Childs,99,
,Race 1,El Regreso,T. D Lee,100,
,Race 1,Distant Jill,T. D Childs,94,
,Race 1,Peles Feet,T. B O'Sullivan,100,
,Race 1,Prime Reaction,T. D Lee,99,
,Race 1,Mikeys Curley,T. J Luckhurst,98,
,Race 1,Phoenix Vegas,T. D Lee,96,
,Race 1,Distant Tiger,T. D Childs,100,
,Race 1,Catunda Sophie,T. B O'Sullivan,98,
,Race 1,Swift Alter,T. J Liles,97,
,Race 1,Gusty Boo,T. J Liles,94,
,Race 1,Nissels Folly,T. D Lee,99,
,Race 1,Cree Ella,T. T Batchelor,100,
,Race 1,Ravenswood Blake,T. T Batchelor,96,
,Race 1,El Speedy,T. D Lee,90,
,Race 1,Slowlane Misty,T. B O'Sullivan,89,
Hove (GBR),,,,,
,Race 1,Dysert Robin,T. Gs Byford,89,
,Race 1,Outdoor Cracker,T. A Collett,100,
,Race 1,Notgotaclue,T. A Herbert,79,
,Race 1,Joyces Bolger,T. B Green,96,
,Race 1,Coolemont Climat,T. D Puddy,98,
,Race 1,De Daghda,T. Pj Browne,79,
,Race 1,Herrick,T. Gs Byford,79,
,Race 1,Kilcash Jack,T. Gs Byford,81,
,Race 1,Forever Billy,T. R Rees,73,
,Race 1,Jacktavern Alan,T. D Lee,100,
,Race 1,Moustows Muttley,T. D Knight,78,
,Race 1,Sweeter Still,T. C Gardiner,92,
,Race 1,Southwood Winx,T. R Rees,89,
,Race 1,Drive On Lad,T. R Rees,84,
,Race 1,Bluejig Baron,T. D Lee,100,
,Race 1,Bluejig Jane,T. D Puddy,93,
,Race 1,Newinn Port,T. Pj Browne,93,
,Race 1,Seomra Power,T. J Heath,73,
,Race 1,Neon View,T. J Heath,77,
,Race 1,Antigua Elsa,T. J Heath,71,
,Race 1,Barbie Bullet,T. B Green,87,
,Race 1,Signet Clo Clo,T. J Harvey,70,
,Race 1,Hotel Whisky,T. D Knight,100,
,Race 1,Swift Jarvis,T. J Heath,100,
,Race 1,Fantasy Alex,T. B Green,91,
,Race 1,Signora Veloce,T. J Harvey,89,
,Race 1,Droopys Velocity,T. Da Dark,82,
,Race 1,De Magic Box,T. A Herbert,85,
,Race 1,Marston Jess,T. S Cahill,86,
,Race 1,Churchfield Fly,T. R Rees,92,
,Race 1,Compo Simmonite,T. Pj Browne,100,
,Race 1,Burrows Ruby,T. J Heath,96,
,Race 1,Makemeawinner,T. J Heath,99,
,Race 1,Annual Aster,T. J Heath,100,
,Race 1,Saxon Beauty,T. S Cahill,82,
,Race 1,Getup Me Charva,T. A Herbert,90,
,Race 1,Rioja Madam,T. A Herbert,93,
,Race 1,Able Partner,T. J Kingsley,79,
,Race 1,Lucky Sevens,T. Da Dark,92,
,Race 1,All About Magic,T. Pj Browne,93,
,Race 1,Burrows Trigger,T. J Heath,100,
,Race 1,Baffled,T. S Cahill,93,
,Race 1,Lets Go Harry,T. J Kingsley,82,
,Race 1,Old Wives Tale,T. J Heath,93,
,Race 1,Sharp Bobby,T. S Cahill,91,
,Race 1,Asbo Lenny,T. P Donovan,100,
,Race 1,Candolim Monsoon,T. D Knight,93,
,Race 1,Never Say No,T. S Cahill,82,
,Race 1,Nine Percent,T. R Rees,93,
,Race 1,Burrows Sapphire,T. J Heath,88,
,Race 1,King Combs,T. E McNair,91,
,Race 1,Avarua Timmy,T. R Rees,97,
,Race 1,Burrows Swift,T. J Heath,100,
,Race 1,Archipelago,T. B Green,95,
,Race 1,Bingo Bullet,T. B Green,97,
,Race 1,Pullinamixer,T. A Herbert,99,
,Race 1,Deacon Pee Wee,T. D Knight,86,
,Race 1,Blueisthecolor,T. J Harvey,88,
,Race 1,Lostinthemaize,T. J Heath,84,
,Race 1,Teddys Sister,T. C Gardiner,93,
,Race 1,Brunswick Bullet,T. B Green,100,
,Race 1,Barnora Blazer,T. D Puddy,97,
,Race 1,Kilara Show,T. R Rees,96,
,Race 1,Gingers Rubin,T. Pj Browne,87,
,Race 1,Uncle Freddie,T. R Rees,100,
,Race 1,Ashwood Bocko,T. Gs Byford,83,
,Race 1,Noirs News,T. S Cahill,98,
Kinsley (GBR),,,,,
